Word		Original_feature		Predicted_feature
जम्मू		3		3
से		UNK		3
प्राप्त		UNK		3
रिपोर्ट		3		3
के		UNK		UNK
मुताबिक		UNK		3
बुधवार		3		3
को		UNK		UNK
एमएएम		3		UNK
स्थित		UNK		3
बेस		3		UNK
कैंप		3		UNK
से		UNK		3
यात्रियों		3		3
को		UNK		UNK
आगे		3		UNK
बढ़ने		any		UNK
की		UNK		UNK
इजाज़त		3		3
नहीं		UNK		3
दी		any		3
गई		any		UNK
।		UNK		UNK
नुनवान		3		3
व		UNK		UNK
बालटाल		3		3
बेस		3		UNK
कैंप		3		UNK
में		UNK		UNK
श्रद्धालुओं		3		3
की		UNK		UNK
भीड़		3		3
को		UNK		UNK
देखते		any		UNK
हुए		any		3
नए		UNK		3
जत्थे		3		UNK
को		UNK		UNK
आगे		3		UNK
बढ़ने		any		UNK
की		UNK		UNK
इजाज़त		3		3
नहीं		UNK		3
दी		any		3
गई		any		UNK
।		UNK		UNK
अब		UNK		3
तक		UNK		UNK
1.25		UNK		UNK
लाख		UNK		3
श्रद्धालुओं		3		3
ने		UNK		UNK
अमरनाथ		3		3
में		UNK		UNK
पवित्र		UNK		3
हिम		3		3
शिवलिंग		3		3
का		UNK		UNK
दर्शन		3		3
किया		3		3
है		3		3
।		UNK		UNK
भारत		3		3
ने		UNK		3
बांग्लादेश		3		3
को		UNK		UNK
भरोसा		3		UNK
दिलाया		any		3
कि		UNK		3
वह		3		3
नदियों		3		3
को		UNK		UNK
जोड़ने		any		UNK
की		UNK		UNK
योजना		3		3
पर		UNK		3
संबंधित		UNK		3
क्षेत्रीय		UNK		3
देशों		3		UNK
से		UNK		3
विचार		3		3
-		UNK		UNK
विमर्श		3		3
किए		any		3
बगैर		UNK		3
अमल		3		3
नहीं		UNK		3
करेगा		3		3
।		UNK		UNK
बांग्लादेश		3		3
के		UNK		UNK
विदेश		3		3
मंत्री		3		3
एम.		3		UNK
मुर्शीद		3		3
खान		3		3
के		UNK		UNK
हवाले		UNK		3
से		UNK		3
स्थानीय		UNK		3
मीडिया		3		3
ने		UNK		3
कहा		3		UNK
है		3		3
कि		UNK		3
भारत		3		3
जल		3		3
बँटवारा		3		3
प्रबंधन		3		3
के		UNK		UNK
क्षेत्रीय		UNK		3
सहयोग		3		3
पर		UNK		3
सहमत		UNK		3
है		3		3
और		UNK		3
दोनों		UNK		3
देशों		3		UNK
से		UNK		3
होकर		any		UNK
बहने		any		UNK
वाली		UNK		3
नदियों		3		3
पर		UNK		3
दिल्ली		3		3
की		UNK		UNK
नीति		3		3
में		UNK		UNK
बदलाव		3		3
आया		3		3
है		3		3
।		UNK		UNK
बैंकॉक		3		UNK
में		UNK		UNK
बिम्सटेक		3		3
सम्मेलन		3		3
के		UNK		UNK
दौरान		3		3
बांग्लादेश		3		3
की		UNK		UNK
प्रधानमंत्री		3		3
बेगम		3		UNK
खालिदा		3		3
जिया		3		3
और		UNK		UNK
भारत		3		3
के		UNK		UNK
प्रधानमंत्री		3		3
मनमोहन		3		UNK
सिंह		3		3
की		UNK		UNK
इस		3		3
मुद्दे		3		3
पर		UNK		3
बात		3		3
-		UNK		UNK
चीत		3		3
हुई		any		3
थी		any		3
।		UNK		UNK
बात		3		3
-		UNK		UNK
चीत		3		3
में		UNK		UNK
सिंह		3		3
ने		UNK		3
भरोसा		3		UNK
दिलाया		any		3
था		any		3
कि		UNK		3
भारत		3		3
इस		3		3
मुद्दे		3		3
पर		UNK		3
संबंधित		UNK		3
देशों		3		UNK
से		UNK		3
बात		3		3
-		UNK		UNK
चीत		3		3
के		UNK		UNK
बाद		3		3
ही		UNK		UNK
कोई		3		UNK
कदम		3		3
उठाएगा		3		3
।		UNK		UNK
खान		3		3
ने		UNK		3
कहा		any		UNK
कि		UNK		3
बांग्लादेश		3		3
हमेशा		UNK		UNK
से		UNK		3
ही		UNK		UNK
यह		3		3
अनुरोध		3		3
करता		3		3
आ		any		UNK
रहा		any		3
है		3		3
कि		UNK		3
जल		3		3
प्रबंधन		3		3
पर		UNK		3
सभी		UNK		3
देशों		3		UNK
को		UNK		UNK
मिलकर		any		3
काम		3		UNK
करना		any		3
चाहिए		any		3
।		UNK		UNK
खान		3		3
ने		UNK		3
कहा		any		UNK
कि		UNK		3
वह		3		3
समझते		3h		3
हैं		3h		3
कि		UNK		3
भारत		3		3
ने		UNK		3
उनके		3h		3
प्रस्ताव		3		3
को		UNK		UNK
मंजूर		UNK		3
कर		3		3
लिया		any		3
है		3		3
।		UNK		UNK
खान		3		3
ने		UNK		3
कहा		any		UNK
कि		UNK		3
बंगाल		3		3
की		UNK		UNK
खाड़ी		3		3
में		UNK		UNK
गिरने		any		3
वाली		UNK		3
भारत		3		3
की		UNK		UNK
सभी		UNK		3
नदियाँ		3		3
बांग्लादेश		3		3
से		UNK		3
होकर		any		UNK
गुजरती		3		3
हैं		3		3
।		UNK		UNK
इन्हीं		3		3
नदियों		3		3
के		UNK		UNK
कारण		UNK		3
हर		UNK		3
साल		3		3
बाढ़		3		UNK
आती		3		UNK
है		3		3
।		UNK		UNK
इसके		3		3
अलावा		UNK		3
मनमोहन		3		UNK
सिंह		3		3
ने		UNK		3
वादा		3		3
किया		3		3
है		3		3
कि		UNK		3
भारत		3		3
बांग्लादेशी		UNK		3
सामानों		3		3
के		UNK		UNK
लिए		UNK		3
बड़ा		UNK		UNK
बाजार		3		3
उपलब्ध		UNK		3
कराता		3		3
रहेगा		3		UNK
।		UNK		UNK
इसके		3		3
साथ		3		3
ही		UNK		UNK
भारत		3		3
द्विपक्षीय		UNK		3
मुद्दों		3		3
पर		UNK		3
आपसी		UNK		3
विचार		3		3
-		UNK		UNK
विमर्श		3		3
के		UNK		UNK
बाद		3		3
ही		UNK		UNK
कदम		3		3
उठाएगा		3		3
।		UNK		UNK
खान		3		3
ने		UNK		3
सिंह		3		3
के		UNK		UNK
उस		3		3
बयान		3		3
का		UNK		UNK
स्वागत		3		3
किया		3		3
है		3		3
जिसमें		3		3
कहा		3		UNK
है		3		3
कि		UNK		3
बांग्लादेशी		UNK		3
घुसपैठियों		3		3
के		UNK		UNK
मामले		3		3
में		UNK		UNK
भारत		3		3
बिना		UNK		3
किसी		3		3
सुबूत		3		3
के		UNK		UNK
कार्रवाई		3		3
नहीं		UNK		3
करेगा		3		3
।		UNK		UNK
शहीद		3		3
-		UNK		UNK
ए		UNK		UNK
-		UNK		UNK
आजम		3		UNK
भगत		3		3
सिंह		3		3
,		UNK		UNK
राजगुरु		3		3
और		UNK		UNK
सुखदेव		3		3
को		UNK		UNK
उनके		3		3
शहादत		3		3
दिवस		3		3
के		UNK		UNK
मौके		3		UNK
पर		UNK		3
बुधवार		3		3
को		UNK		UNK
लोकसभा		3		UNK
में		UNK		UNK
श्रद्घांजलि		3		3
नहीं		UNK		3
देने		any		3
के		UNK		UNK
लिए		UNK		3
भाजपा		3		UNK
ने		UNK		3
प्रधानमंत्री		3		3
मनमोहन		3		UNK
सिंह		3		3
और		UNK		UNK
कांग्रेस		3		3
की		UNK		UNK
आलोचना		3		3
की		3		UNK
है		3		3
।		UNK		UNK
सभापति		3		3
भैरों		3		UNK
सिंह		3		3
शेखावत		3		UNK
ने		UNK		3
कहा		any		UNK
कि		UNK		3
उनकी		3		3
कुर्बानी		3		3
पर		UNK		3
पूरे		UNK		3
देश		3		UNK
को		UNK		UNK
गर्व		3		3
है		3		3
।		UNK		UNK
'		UNK		UNK
राष्ट्र		3		3
उन्हें		3		3
कभी		UNK		UNK
नहीं		UNK		3
भूल		any		3
सकता		any		3
भाजपा		3		UNK
संसदीय		UNK		3
पार्टी		3		3
के		UNK		UNK
प्रवक्ता		3		3
वी.		3		3
के.		3		UNK
मल्होत्रा		3		UNK
ने		UNK		3
कहा		any		UNK
कि		UNK		3
समूचे		UNK		3
सदन		3		3
की		UNK		UNK
ओर		3		3
से		UNK		3
तीनों		UNK		3
शहीदों		3		3
को		UNK		UNK
श्रद्घांजलि		3		3
देने		any		3
में		UNK		UNK
हम		1		UNK
अध्यक्ष		3		3
के		UNK		UNK
प्रयासों		3		3
की		UNK		UNK
सराहना		3		3
करते		1		3
हैं		1		3
।		UNK		UNK
हालांकि		UNK		3
प्रधानमंत्री		3		3
भी		UNK		UNK
सदन		3		3
में		UNK		UNK
उपस्थित		UNK		3
थे		3h		UNK
और		UNK		3
समय		3		3
का		UNK		UNK
तकाजा		3		3
था		any		3
कि		UNK		3
वह		3		3
भी		UNK		UNK
श्रद्घांजलि		3		3
देते		3h		UNK
।		UNK		UNK
उन्होंने		3h		3
कहा		any		UNK
कि		UNK		3
कांग्रेस		3		3
पार्टी		3		3
से		UNK		3
किसी		3		3
ने		UNK		3
भी		UNK		UNK
शहीदों		3		3
का		UNK		UNK
जिक्र		3		3
नहीं		UNK		3
किया		any		3
।		UNK		UNK
अगर		UNK		3
प्रधानमंत्री		3		3
श्रद्घांजलि		3		3
में		UNK		UNK
शामिल		UNK		3
नहीं		UNK		3
होते		3h		UNK
हैं		3h		3
तो		UNK		UNK
यह		3		3
साबित		UNK		3
होता		3		UNK
है		3		3
कि		UNK		3
कांग्रेस		3		3
क्रांतिकारियों		3		3
के		UNK		UNK
योगदान		3		3
की		UNK		UNK
अनसुनी		UNK		3
कर		3		3
रही		any		3
है		3		3
और		UNK		3
केवल		UNK		3
एक		UNK		UNK
ही		UNK		UNK
परिवार		3		3
के		UNK		UNK
योगदान		3		3
की		UNK		UNK
बात		3		3
कर		3		3
रही		any		3
है		3		3
।		UNK		UNK
मल्होत्रा		3		UNK
ने		UNK		3
मांग		3		UNK
की		any		UNK
कि		UNK		3
संसद		3		3
के		UNK		UNK
सेंट्रल		3		3
हाल		3		3
में		UNK		UNK
उस		3		3
जगह		3		UNK
पर		UNK		3
यादगार		3		3
के		UNK		UNK
तौर		UNK		3
पर		UNK		3
एक		UNK		UNK
पट्टिका		3		3
लगाई		3		3
जाए		3		UNK
जहां		UNK		UNK
से		UNK		3
भगत		3		3
सिंह		3		3
और		UNK		UNK
उनके		3h		3
दो		UNK		UNK
साथी		3		3
क्रांतिकारियों		3		3
ने		UNK		3
बम		3		UNK
फेंका		any		UNK
था		any		3
और		UNK		UNK
जहां		UNK		UNK
पर		UNK		3
बम		3		UNK
गिरा		any		3
था		any		3
।		UNK		UNK
उन्होंने		3h		3
संसद		3		3
में		UNK		UNK
भगत		3		3
सिंह		3		3
की		UNK		UNK
एक		UNK		UNK
तस्वीर		3		3
लगाने		any		UNK
की		UNK		UNK
भी		UNK		UNK
मांग		3		UNK
की		any		UNK
।		UNK		UNK
NULL		UNK		UNK
गौरतलब		UNK		3
है		3		3
कि		UNK		3
तीनों		UNK		3
क्रांतिकारियों		3		3
को		UNK		UNK
२३		3		UNK
मार्च		3		3
,		UNK		UNK
१९३१		3		UNK
में		UNK		UNK
फांसी		3		3
दे		any		UNK
दी		any		3
गई		any		UNK
थी		any		3
।		UNK		UNK
भारतीय		UNK		3
डाक		3		UNK
,		UNK		UNK
दांडी		3		3
मार्च		3		3
,		UNK		UNK
अलबर्ट		3		3
आइंस्टाइन		3		3
और		UNK		UNK
बंगाल		3		3
विभाजन		3		3
की		UNK		UNK
वर्षगांठ		3		3
मनाने		any		3
की		UNK		UNK
सरकार		3		3
की		UNK		UNK
योजना		3		3
का		UNK		UNK
उल्लेख		3		3
करते		any		3
हुए		any		3
मल्होत्रा		3		UNK
ने		UNK		3
कहा		any		UNK
कि		UNK		3
'		UNK		UNK
यह		3		3
बड़े		UNK		UNK
ही		UNK		UNK
दुख		3		3
की		UNK		UNK
बात		3		3
है		3		3
कि		UNK		3
सरकार		3		3
ने		UNK		3
इन		3		3
समारोह		3		UNK
योजनाओं		3		3
में		UNK		UNK
भगत		3		3
सिंह		3		3
की		UNK		UNK
शहादत		3		3
की		UNK		UNK
७५वीं		UNK		3
वर्षगांठ		3		3
को		UNK		UNK
शामिल		UNK		3
नहीं		UNK		3
किया		any		3
।		UNK		UNK
निगम		3		3
ने		UNK		3
19		UNK		UNK
बैचों		3		UNK
के		UNK		UNK
हिसाब		3		3
से		UNK		3
यात्रा		3		3
का		UNK		UNK
अनुमानित		UNK		3
कार्यक्रम		3		3
भी		UNK		UNK
भारत		3		3
सरकार		3		3
को		UNK		UNK
भेजा		3		UNK
है		3		3
।		UNK		UNK
इसमें		3		3
सुझाव		3		3
दिया		3		3
गया		any		3
है		3		3
कि		UNK		3
यदि		UNK		3
पहला		UNK		3
यात्री		3		3
दल		3		3
25		3		UNK
मई		3		UNK
को		UNK		UNK
दिल्ली		3		3
से		UNK		3
गंतव्य		3		3
के		UNK		UNK
लिए		UNK		3
रवाना		UNK		3
हो		any		UNK
जाए		any		UNK
तो		UNK		UNK
6		3		UNK
अक्तूबर		3		3
को		UNK		UNK
आखिरी		UNK		3
यानि		UNK		3
उन्नीसवां		UNK		3
दल		3		3
दिल्ली		3		3
वापस		UNK		3
भी		UNK		UNK
लौट		3		3
जाएगा		3		UNK
।		UNK		UNK
मालूम		UNK		3
हो		any		UNK
कि		UNK		3
अभी		UNK		3
तक		UNK		3
इस		3		3
यात्रा		3		3
में		UNK		UNK
16		UNK		UNK
बैच		3		UNK
ही		UNK		UNK
भेजे		3		UNK
जाते		any		UNK
रहे		any		UNK
हैं		3		3
।		UNK		UNK
विगत		UNK		3
12		3		UNK
अप्रैल		3		3
को		UNK		UNK
पिथौरागढ़		3		3
में		UNK		UNK
जिलाधिकारी		3		3
की		UNK		UNK
अध्यक्षता		3		3
में		UNK		UNK
संपन्न		UNK		3
हुई		any		3
बैठक		3		UNK
में		UNK		UNK
लिए		any		3
गए		any		UNK
फैसले		3		3
के		UNK		UNK
अनुसार		UNK		3
यात्रा		3		3
में		UNK		UNK
17वें		UNK		UNK
दल		3		3
को		UNK		UNK
शामिल		UNK		3
करने		any		UNK
का		UNK		UNK
प्रस्ताव		3		3
भारत		3		3
सरकार		3		3
को		UNK		UNK
भेजा		3		UNK
गया		any		3
है		3		3
।		UNK		UNK
इस		3		3
पर		UNK		3
भी		UNK		UNK
अंतिम		UNK		3
फैसला		3		3
नहीं		UNK		3
हो		3		UNK
पाया		any		3
है		3		3
।		UNK		UNK
इस		3		3
बीच		3		UNK
चीन		3		3
सरकार		3		3
की		UNK		UNK
ओर		3		3
से		UNK		3
तीन		UNK		3
बैच		3		UNK
बढ़ाने		any		UNK
का		UNK		UNK
प्रस्ताव		3		3
भी		UNK		UNK
निगम		3		3
के		UNK		UNK
पास		3		3
आ		3		UNK
चुका		any		3
है		3		3
।		UNK		UNK
अब		UNK		UNK
निगम		3		3
को		UNK		UNK
भारत		3		3
तिब्बत		3		3
सीमा		3		3
पुलिस		3		3
की		UNK		UNK
मंजूरी		3		3
का		UNK		UNK
इंतजार		3		3
है		3		3
।		UNK		UNK
यात्रियों		3		3
की		UNK		UNK
सुरक्षा		3		3
के		UNK		UNK
साथ		3		3
ही		UNK		UNK
संचार		3		3
और		UNK		UNK
चिकित्सा		3		3
का		UNK		UNK
जिम्मा		3		3
आईटीबीपी		3		3
पर		UNK		3
है		3		3
।		UNK		UNK
आईटीबीपी		3		3
मिर्गी		3		3
कैंप		3		UNK
के		UNK		UNK
कार्यवाहक		UNK		3
कमान		3		3
अधिकारी		3		3
ने		UNK		3
इस		3		3
संबंध		3		3
में		UNK		UNK
पूछे		any		3
जाने		any		3
पर		UNK		3
कहा		any		UNK
कि		UNK		3
इस		3		3
मामले		3		3
में		UNK		UNK
वे		3h		UNK
कुछ		UNK		3
भी		UNK		UNK
नहीं		UNK		3
कह		3h		UNK
सकते		3h		3
।		UNK		UNK
आईटीबीपी		3		UNK
मुख्यालय		3		3
से		UNK		3
ही		UNK		UNK
इस		3		3
संबंध		3		3
में		UNK		UNK
कोई		3		UNK
जानकारी		3		3
हासिल		UNK		3
की		3		UNK
जा		any		UNK
सकती		any		3
है		3		3
।		UNK		UNK
तिलहन		3		3
के		UNK		UNK
उत्पादन		3		3
को		UNK		UNK
लेकर		any		UNK
उद्योग		3		3
जगत		3		3
और		UNK		UNK
कृषि		3		3
मंत्रालय		3		3
एक		UNK		UNK
बार		3		3
फिर		UNK		3
अलग		UNK		3
-		UNK		UNK
अलग		UNK		3
दावे		3		3
कर		3		3
रहे		any		UNK
हैं		3		3
।		UNK		UNK
उद्योग		3		3
जगत		3		3
का		UNK		UNK
कहना		any		3
है		3		3
कि		UNK		3
इस		3		3
साल		3		3
खरीफ		3		3
सीजन		3		3
के		UNK		UNK
दौरान		3		3
तिलहन		3		3
का		UNK		UNK
उत्पादन		3		3
130		UNK		UNK
लाख		UNK		3
टन		3		3
होगा		3		UNK
।		UNK		UNK
जबकि		UNK		3
कृषि		3		3
मंत्रालय		3		3
के		UNK		UNK
मुताबिक		UNK		3
इस		3		3
साल		3		3
तिलहन		3		3
का		UNK		UNK
उत्पादन		3		3
145.6		UNK		UNK
लाख		UNK		3
टन		3		3
रहने		any		UNK
का		UNK		UNK
अनुमान		3		3
है		3		3
,		UNK		UNK
जो		3		UNK
पिछले		UNK		3
साल		3		3
की		UNK		UNK
तुलना		UNK		3
में		UNK		UNK
करीब		UNK		3
2.5		UNK		UNK
फीसदी		3		3
कम		UNK		UNK
है		3		3
।		UNK		UNK
लेकिन		UNK		3
उद्योग		3		3
का		UNK		UNK
कहना		any		3
है		3		3
कि		UNK		3
इस		3		3
साल		3		3
तिलहन		3		3
का		UNK		UNK
उत्पादन		3		3
पिछले		UNK		3
साल		3		3
की		UNK		UNK
तुलना		UNK		3
में		UNK		UNK
ज्यादा		UNK		3
होगा		3		UNK
।		UNK		UNK
उद्योग		3		3
जगत		3		3
और		UNK		UNK
कृषि		3		3
मंत्रालय		3		3
ने		UNK		3
खरीफ		3		3
सीज़न		3		3
के		UNK		UNK
पहले		3		UNK
अग्रिम		UNK		3
अनुमानों		3		3
को		UNK		UNK
जारी		UNK		3
किया		3		3
है		3		3
।		UNK		UNK
तिलहन		3		3
उद्योग		3		3
और		UNK		UNK
ट्रेड		3		UNK
की		UNK		UNK
सबसे		UNK		UNK
बड़ी		UNK		UNK
संस्था		3		3
सेंट्रल		UNK		UNK
ऑर्गेनाइजेशन		3		3
फॉर		UNK		3
ऑयल		3		3
इंडस्ट्री		3		3
एंड		UNK		3
ट्रेड		3		UNK
यानि		UNK		3
कोइट		3		3
का		UNK		UNK
कहना		any		3
है		3		3
कि		UNK		3
इस		3		3
साल		3		3
तिलहन		3		3
का		UNK		UNK
उत्पादन		3		3
कम		UNK		UNK
रहने		any		UNK
की		UNK		UNK
उम्मीद		3		3
की		3		UNK
जा		any		UNK
रही		any		3
है		3		3
।		UNK		UNK
उद्योग		3		3
जगत		3		3
दावा		3		3
करता		3		3
है		3		3
कि		UNK		3
इस		3		3
खरीफ		3		3
सीज़न		3		3
के		UNK		UNK
दौरान		3		3
तिलहन		3		3
का		UNK		UNK
उत्पादन		3		3
पिछले		UNK		3
साल		3		3
की		UNK		UNK
तुलना		UNK		3
में		UNK		UNK
ज्यादा		UNK		3
होगा		3		UNK
।		UNK		UNK
उद्योग		3		3
के		UNK		UNK
मुताबिक		UNK		3
इस		3		3
साल		3		3
तिलहन		3		3
उत्पादन		3		3
करीब		UNK		3
130.4		UNK		UNK
लाख		UNK		3
टन		3		3
होगा		3		UNK
।		UNK		UNK
जो		3		UNK
पिछले		UNK		3
साल		3		3
के		UNK		UNK
उत्पादन		3		3
में		UNK		UNK
करीब		UNK		3
6.8		UNK		UNK
लाख		UNK		3
टन		3		3
ज्यादा		UNK		3
है		3		3
।		UNK		UNK
पिछले		UNK		3
साल		3		3
तिलहन		3		3
का		UNK		UNK
उत्पादन		3		3
123		UNK		UNK
लाख		UNK		3
टन		3		3
हुआ		any		3
था		any		3
।		UNK		UNK
उद्योग		3		3
का		UNK		UNK
अनुमान		3		3
है		3		3
कि		UNK		3
इस		3		3
साल		3		3
मूँगफली		3		3
का		UNK		UNK
उत्पादन		3		3
56.5		UNK		UNK
लाख		UNK		3
टन		3		3
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		3		3
का		UNK		UNK
उत्पादन		3		3
53.6		UNK		UNK
लाख		UNK		3
टन		3		3
होगा		3		UNK
।		UNK		UNK
जबकि		UNK		3
पिछले		UNK		3
साल		3		3
मूँगफली		3		3
का		UNK		UNK
उत्पादन		3		3
44.5		UNK		UNK
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		3		3
का		UNK		UNK
उत्पादन		3		3
58.5		UNK		UNK
लाख		UNK		3
टन		3		3
हुआ		any		3
था		any		3
।		UNK		UNK
कृषि		3		3
मंत्रालय		3		3
उद्योग		3		3
जगत		3		3
के		UNK		UNK
इन		3		3
आँकड़ों		3		UNK
से		UNK		3
इत्तेफाक		3		3
नहीं		UNK		3
रखता		3		3
है		3		3
और		UNK		3
उसके		3		3
मुताबिक		UNK		3
इस		3		3
साल		3		3
तिहलन		3		3
उत्पादन		3		3
में		UNK		UNK
करीब		UNK		3
2.5		UNK		UNK
फीसदी		3		3
की		UNK		UNK
कमी		3		UNK
आ		3		UNK
सकती		any		3
है		3		3
।		UNK		UNK
इस		3		3
साल		3		3
महाराष्ट्र		3		3
और		UNK		UNK
गुजरात		3		3
में		UNK		UNK
ज्यादा		UNK		3
बारिश		3		3
का		UNK		UNK
असर		3		3
तिलहन		3		3
उत्पादन		3		3
पर		UNK		3
पड़ा		3		UNK
है		3		3
।		UNK		UNK
पिछले		UNK		3
साल		3		3
149.4		UNK		UNK
लाख		UNK		3
टन		3		3
तिलहन		3		3
का		UNK		UNK
उत्पादन		3		3
हुआ		any		3
था		any		3
।		UNK		UNK
मंत्रालय		3		3
का		UNK		UNK
कहना		any		3
है		3		3
कि		UNK		3
इस		3		3
साल		3		3
मूँगफली		3		3
का		UNK		UNK
उत्पादन		3		3
59.4		UNK		UNK
लाख		UNK		3
टन		3		3
NULL		UNK		UNK
और		UNK		UNK
सोयाबीन		3		3
का		UNK		UNK
65.8		UNK		UNK
लाख		UNK		3
टन		3		3
होने		any		UNK
की		UNK		UNK
संभावना		3		3
है		3		3
।		UNK		UNK
बैजोरिया		3		3
का		UNK		UNK
कहना		any		3
है		3		3
कि		UNK		3
इन		3		3
आँकड़ों		3		UNK
में		UNK		UNK
अंतर		3		3
का		UNK		UNK
असर		3		3
तिलहन		3		3
की		UNK		UNK
कीमतों		3		3
पर		UNK		3
नहीं		UNK		3
पड़ता		3		3
है		3		3
।		UNK		UNK
उनका		3h		3
कहना		any		3
है		3		3
कि		UNK		3
उनके		3h		3
पास		3		3
ये		3		UNK
आँकड़ें		3		UNK
स्थानीय		UNK		3
स्तर		3		3
पर		UNK		3
आते		3		UNK
हैं		3		3
जो		3		UNK
पूरी		UNK		3
तरह		3		3
से		UNK		3
सही		UNK		3
होते		3		UNK
हैं		3		3
।		UNK		UNK
देश		3		UNK
के		UNK		UNK
सात		UNK		3
बेहतरीन		UNK		3
संस्थानों		3		3
को		UNK		UNK
उन्नत		UNK		3
रूप		3		3
देकर		any		3
भारतीय		UNK		3
प्रौद्योगिकी		3		3
संस्थानों		3		3
(		UNK		UNK
आईआईटी		3		UNK
)		UNK		UNK
के		UNK		UNK
समकक्ष		UNK		3
बनाने		any		UNK
के		UNK		UNK
लिए		UNK		3
सरकार		3		3
विशेषज्ञ		UNK		3
समिति		3		3
की		UNK		UNK
रिपोर्ट		3		3
का		UNK		UNK
इंतजार		3		3
कर		3		3
रही		any		3
है		3		3
।		UNK		UNK
इस		3		3
मामले		3		3
में		UNK		UNK
'		UNK		UNK
विजन		3		3
डॉक्यूमेंट		3		3
'		UNK		UNK
के		UNK		UNK
अध्ययन		3		3
के		UNK		UNK
लिए		UNK		3
विशेषज्ञ		3		3
समिति		3		3
गठित		UNK		3
की		any		UNK
गयी		any		3
थी		any		3
।		UNK		UNK
मानव		3		3
