Word		Original_feature		Predicted_feature
۔		UNK		m
پولیس		f		m
نریڈ		m		m
میٹ		m		m
نے		UNK		m
مقدمہ		m		m
درج		any		m
کر		any		m
لیا		m		m
ہے		any		m
اور		UNK		m
تحقیقات		f		m
جاری		any		m
ہےں		any		m
۔		UNK		m
اےک		any		m
شخص		m		m
نے		UNK		m
مبینہ		any		m
طور		m		m
پر		UNK		m
اپنی		f		m
منگیتر		f		m
اور		UNK		m
اس		any		m
کے		m		m
والدین		any		m
پر		UNK		m
چاقو		m		m
سے		UNK		m
حملہ		m		m
کر		any		m
کے		m		m
زخمی		any		m
کر		any		m
دیا		m		m
۔		UNK		m
پولیس		f		m
نے		UNK		m
بتایا		m		m
کہ		UNK		m
نوجوان		any		m
لڑکی		f		m
کی		f		m
پاک_دامنی		f		m
پر		UNK		m
شبہ		m		m
کرتے		any		m
ہوئے		any		m
حملہ		m		m
کیا		m		m
۔		UNK		m
ڈی		m		m
بھارت		m		m
کرشنا		m		m
خانگی		any		m
ملازم		m		m
جو		any		m
24		any		m
سالہ		any		m
خاتون		f		m
فروین		m		m
صنم		m		m
متعلم		any		m
ایم		m		m
کام		m		m
سے		UNK		m
عشق		m		m
کرتا		m		m
تھا		m		m
۔		UNK		m
دونوں		any		m
کے		m		m
ارکان		m		m
خاندان		m		m
ان		any		m
کی		f		m
اس		any		m
سال		m		m
فبروری		m		m
مےں		UNK		m
منگنی		m		m
کرنے		any		m
کے		UNK		m
بعد		m		m
شادی		f		m
سے		UNK		m
اتفاق		m		m
کیا		m		m
تھا		m		m
اور		UNK		m
21		m		m
مئی		m		m
کو		UNK		m
شادی		f		m
مقرر		any		m
تھی		f		m
۔		UNK		m
تاہم		UNK		m
بھارت		m		m
کرشنا		m		m
کو		UNK		m
اپنی		f		m
منگیتر		m		m
کے		m		m
چال		f		m
و		UNK		m
چلن		m		m
پر		UNK		m
شبہ		m		m
ہوا		m		m
اور		UNK		m
الزام		m		m
عائد		any		m
کیا		m		m
کہ		UNK		m
وہ		any		m
کسی		any		m
اور		any		m
شخص		m		m
کے		UNK		m
ساتھ		m		m
تعلقات		m		m
رکھتی		f		m
ہے		any		m
۔		UNK		m
آج		m		m
شام		f		m
وہ		any		m
اپنی		f		m
منگیتر		m		m
کے		m		m
گھر		m		m
گیا		m		m
اور		UNK		m
بحث		f		m
کرتے		any		m
ہوئے		any		m
اس		any		m
شخص		m		m
کا		m		m
نام		m		m
ظاہر		any		m
کرنے		any		m
کا		m		m
مطالبہ		m		m
کیا		m		m
اور		UNK		m
کہا		m		m
کہ		UNK		m
اس		any		m
کے		UNK		m
ساتھ		m		m
ابھی		UNK		m
چل		any		m
کر		any		m
شادی		f		m
کر		any		m
لے		any		m
لیکن		UNK		m
خاتون		f		m
نے		UNK		m
انکار		m		m
کیا		m		m
اور		UNK		m
چیخ		f		m
و		UNK		m
پکار		f		m
سن		any		m
کر		any		m
لڑکی		f		m
کے		m		m
والدین		m		m
اور		UNK		m
دیگر		any		m
ارکان		m		m
پہنچ		any		m
گئے		m		m
NULL		UNK		m
جس		any		m
پر		UNK		m
برہم		any		m
بھارت		m		m
نے		UNK		m
لڑکی		f		m
اور		UNK		m
اس		any		m
کے		m		m
والدین		m		m
پر		UNK		m
چاقو		m		m
سے		UNK		m
حملہ		m		m
کیا		m		m
۔		UNK		m
لڑکی		f		m
کے		m		m
گردن		f		m
اور		UNK		m
ہاتھ		m		m
پر		UNK		m
شدید		any		m
زخم		m		m
آئے		any		m
۔		UNK		m
والدین		m		m
معمولی		any		m
زخمی		m		m
ہوئے		any		m
ہےں		any		m
۔		UNK		m
کرشنا		m		m
چلڈرنس		m		m
ہاسپٹل		m		m
لکڑی		m		m
کا		m		m
پل		m		m
پر		UNK		m
عالمی		any		m
یوم		m		m
دمہ		m		m
کے		m		m
موقع		m		m
پر		UNK		m
3		m		m
مئی		m		m
کو		UNK		m
صبح		f		m
8		any		m
بجے		m		m
بچوں		m		m
کے		UNK		m
لئے		UNK		m
مفت		any		m
دمہ		m		m
چیک		m		m
اپ		m		m
کیمپ		m		m
منعقد		any		m
کیا		m		m
جائےگا		m		m
۔		UNK		m
رجسٹریشن		m		m
کے		UNK		m
لئے		UNK		m
040		any		m
-		UNK		m
66838383		any		m
پر		UNK		m
کال		m		m
کریں		any		m
۔		UNK		m
ڈی		m		m
سی		m		m
پی		any		m
ساؤتھ		m		m
زون		m		m
کی		f		m
حیثیت		f		m
سے		UNK		m
مسٹر		UNK		m
ونیت		m		m
برج		m		m
لال		m		m
نے		UNK		m
آج		m		m
شام		f		m
اپنے		m		m
عہدے		m		m
کا		m		m
جائزہ		m		m
حاصل		m		m
کر		any		m
لیا		m		m
۔		UNK		m
ڈی		m		m
سی		m		m
پی		m		m
ساؤتھ		m		m
زون		m		m
مدھو		m		m
سدھن		m		m
ریڈی		m		m
کی		f		m
ترقی		f		m
کے		UNK		m
بعد		m		m
وہ		any		m
انچارج		m		m
ڈی		m		m
سی		m		m
پی		m		m
کی		f		m
حیثیت		f		m
سے		UNK		m
خدمات		f		m
انجام		m		m
دے		any		m
رہے		m		m
تھے		m		m
۔		UNK		m
مسٹر		UNK		m
ونیت		m		m
برج		m		m
لال		m		m
نے		UNK		m
آج		m		m
ان		any		m
سے		UNK		m
اپنے		m		m
عہدے		m		m
کا		m		m
جائزہ		m		m
حاصل		m		m
کر		any		m
لیا		m		m
۔		UNK		m
ونیت		m		m
برج		m		m
لال		m		m
وئیزاک		m		m
رورل		m		m
کے		m		m
ایس		m		m
پی		m		m
کی		f		m
حیثیت		f		m
سے		UNK		m
خدمات		f		m
انجام		m		m
دے		any		m
رہے		m		m
تھے		m		m
۔		UNK		m
چینائی		m		m
سوپر		m		m
کنگس		m		m
کے		m		m
بولرس		m		m
نے		UNK		m
آج		m		m
بہترین		any		m
مظاہرہ		m		m
کرتے		any		m
ہوئے		any		m
دکن		m		m
چارجرس		m		m
کے		UNK		m
خلاف		any		m
19		any		m
رنز		m		m
سے		UNK		m
کامیابی		f		m
یقینی		any		m
بنائی		f		m
۔		UNK		m
سوہال		m		m
نے		UNK		m
24		any		m
گیندوں		m		m
مےں		UNK		m
جاریہ		any		m
سیزن		m		m
کی		f		m
تیزترین		UNK		m
نصف		any		m
سنچری		f		m
بنائی		f		m
لیکن		UNK		m
ان		any		m
کے		m		m
آوٹ		m		m
ہونے		any		m
کے		UNK		m
بعد		m		m
میچ		m		m
چینائی		m		m
سوپر		m		m
کنگس		m		m
کے		m		m
حق		m		m
مےں		UNK		m
چلا		m		m
گیا		m		m
۔		UNK		m
مقررہ		any		m
20		any		m
اوورس		m		m
مےں		UNK		m
165		any		m
رنز		m		m
بنانے		any		m
کے		UNK		m
بعد		m		m
ٹیم		f		m
نے		UNK		m
حریف		any		m
دکن		m		m
چارجرس		m		m
کو		UNK		m
146		any		m
/		UNK		m
8		any		m
پر		UNK		m
محدود		any		m
کر		any		m
دیا		m		m
۔		UNK		m
سریش		m		m
رائنا		m		m
نے		UNK		m
چینائی		m		m
سوپر		m		m
کنگس		m		m
کے		UNK		m
لئے		UNK		m
59		any		m
رنز		m		m
بنائے		any		m
جبکہ		UNK		m
البی		m		m
مرکل		m		m
نے		UNK		m
3		any		m
وکٹس		m		m
حاصل		m		m
کئے		m		m
۔		UNK		m
کامیابی		f		m
کے		UNK		m
لئے		UNK		m
166		any		m
رنز		m		m
کا		m		m
تعاقب		m		m
کرتے		any		m
ہوئے		any		m
دفاعی		any		m
چمپئین		m		m
دکن		m		m
چارجرس		m		m
نے		UNK		m
اچھی		any		m
شروعات		f		m
کی		f		m
لیکن		UNK		m
بعد		m		m
مےں		UNK		m
بیٹسمین		m		m
ناکام		any		m
ہو		any		m
۔		UNK		m
اےک		any		m
مرحلہ		m		m
پر		UNK		m
دکن		m		m
چارجرس		m		m
کا		m		m
اسکور		m		m
6.4		any		m
اوورس		m		m
مےں		UNK		m
بنا		UNK		m
کسی		any		m
نقصان		m		m
سے		UNK		m
71		any		m
رنز		m		m
ہو		any		m
گیا		m		m
تھا		m		m
۔		UNK		m
سوہال		m		m
نے		UNK		m
24		any		m
گیندوں		m		m
مےں		UNK		m
جاریہ		any		m
سیزن		m		m
کی		f		m
تیزترین		UNK		m
نصف		any		m
سنچری		f		m
بنائی		f		m
لیکن		UNK		m
ان		any		m
کے		m		m
آوٹ		m		m
ہونے		any		m
کے		UNK		m
بعد		m		m
میچ		m		m
چینائی		m		m
سوپر		m		m
کنگس		m		m
کے		m		m
حق		m		m
مےں		UNK		m
چلا		m		m
گیا		m		m
۔		UNK		m
قبل_ازیں		UNK		m
سریش		m		m
رائنا		m		m
کی		f		m
نصف		any		m
سنچری		m		m
اور		UNK		m
مرکل		m		m
کی		f		m
بہترین		any		m
بالنگ		f		m
نے		UNK		m
ٹیم		f		m
کی		f		m
کامیابی		f		m
کو		UNK		m
یقینی		any		m
بنایا		m		m
۔		UNK		m
سریش		m		m
رائنا		m		m
نے		UNK		m
فارم		m		m
مےں		UNK		m
واپس		any		m
ہوتے		any		m
ہوئے		any		m
6		any		m
چوکوں		m		m
اور		UNK		m
2		any		m
چھکوں		m		m
کی		f		m
مدد		f		m
سے		UNK		m
35		any		m
گیندوں		m		m
مےں		UNK		m
59		any		m
رنز		m		m
بنائے		any		m
جبکہ		UNK		m
مرکل		m		m
نے		UNK		m
3		any		m
وکٹس		m		m
حاصل		m		m
کئے		any		m
۔		UNK		m
اس		any		m
کے		UNK		m
علاوہ		UNK		m
انہوں		any		m
نے		UNK		m
چھ		any		m
گیندوں		m		m
مےں		UNK		m
تین		any		m
چھکوں		m		m
کی		f		m
مدد		f		m
سے		UNK		m
19		any		m
رنز		m		m
بنائے		any		m
۔		UNK		m
چینائی		m		m
سوپر		m		m
کنگس		m		m
نے		UNK		m
آخری		f		m
پانچ		any		m
اوورس		m		m
مےں		UNK		m
69		any		m
رنز		m		m
بناتے		any		m
ہوئے		any		m
اسکور		m		m
کو		UNK		m
165		any		m
تک		UNK		m
پہنچا		m		m
دیا		m		m
۔		UNK		m
کپتان		m		m
مہیندر		m		m
سنگھ		m		m
دھونی		m		m
نے		UNK		m
21		any		m
رنز		m		m
بنائے		any		m
۔		UNK		m
آندھراپردیش		m		m
ہائیکورٹ		m		m
نے		UNK		m
قبرستان		m		m
چوکھنڈی		m		m
،		UNK		m
شیخ		m		m
پیٹ		m		m
کی		f		m
موجودہ		any		m
حالت		m		m
کے		UNK		m
تعلق		m		m
سے		UNK		m
اےک		any		m
رپورٹ		f		m
پیش		m		m
کرنے		any		m
کی		f		m
سکریٹری		m		m
محکمہ		m		m
اقلیتی		m		m
بہبود		m		m
،		UNK		m
اسپیشل		m		m
آفیسر		m		m
مجلس		m		m
بلدیہ		m		m
عظیم_تر		m		m
حیدرآباد		m		m
،		UNK		m
چیف		m		m
ایگزیکیٹیو		m		m
آفیسر		m		m
اے		m		m
پی		m		m
اسٹیٹ		m		m
وقف		m		m
بورڈ		m		m
اور		UNK		m
کمشنر		m		m
پولیس		m		m
حیدرآباد		m		m
کو		UNK		m
ہدایت		f		m
دی		f		m
ہے		any		m
NULL		UNK		m
اس		any		m
کے		UNK		m
علاوہ		UNK		m
انہیں		any		m
یہ		any		m
بھی		UNK		m
ہدایت		f		m
دی		f		m
گئی		f		m
ہے		any		m
کہ		UNK		m
وہ		any		m
قبرستان		m		m
چوکھنڈی		m		m
مےں		UNK		m
جوں		UNK		m
کا		UNK		m
توں		UNK		m
موقف		m		m
برقرار		any		m
رکھنے		any		m
کے		UNK		m
تعلق		m		m
سے		UNK		m
عدالت		f		m
کے		m		m
احکام		m		m
کی		f		m
پابندی		f		m
کو		UNK		m
یقینی		any		m
بنائیں		any		m
۔		UNK		m
چیف		m		m
جسٹس		m		m
مسٹر		UNK		m
جسٹس		m		m
نثار		m		m
احمد		m		m
کاکرو		m		m
اور		UNK		m
جسٹس		m		m
وی		m		m
وی		m		m
افضل		m		m
پورکر		m		m
پر		UNK		m
مشتمل		any		m
بنچ		m		m
نے		UNK		m
یہ		any		m
ہدایت		f		m
جاری		any		m
کی		f		m
۔		UNK		m
تفصیلات		f		m
کے		UNK		m
بموجب		UNK		m
درخواست_گذار		f		m
و		UNK		m
صدر		m		m
وقف		m		m
پراپرٹیز		m		m
پروٹیکشن		m		m
سوسائیٹی		m		m
جناب		UNK		m
عثمان		m		m
بن		m		m
محمد		m		m
الہاجری		m		m
نے		UNK		m
قبرستان		m		m
چوکھنڈی		m		m
شیخ_پیٹ		m		m
کی		f		m
بانڈری		f		m
و		UNK		m
قبور		m		m
کو		UNK		m
مسمار		any		m
کرتے		any		m
ہوئے		any		m
سڑک		f		m
کی		f		m
تعمیر		f		m
کے		UNK		m
خلاف		any		m
عدالت		f		m
کا		m		m
دروازہ		m		m
کھٹکھٹایا		m		m
تھا		m		m
NULL		UNK		m
جس		any		m
پر		UNK		m
عدالت		f		m
کی		f		m
جانب		m		m
سے		UNK		m
یہاں		any		m
جوں		UNK		m
کا		UNK		m
توں		UNK		m
موقف		m		m
برقرار		any		m
رکھنے		any		m
کی		f		m
ہدایت		f		m
جاری		any		m
کی		f		m
گئی		f		m
تھی		m		m
۔		UNK		m
عدالت		f		m
کی		f		m
ہدایت		f		m
کے		UNK		m
باوجود		UNK		m
یہاں		any		m
بلدیہ		m		m
کی		f		m
جانب		m		m
سے		UNK		m
سوچے		m		m
سمجھے		m		m
منصوبہ		m		m
کے		UNK		m
تحت		UNK		m
مذکورہ		any		m
سڑک		f		m
کی		f		m
تعمیر		f		m
کا		m		m
کام		m		m
جاری		any		m
رکھا		m		m
گیا		m		m
تھا		m		m
۔		UNK		m
رات		f		m
مےں		UNK		m
بھی		UNK		m
تعمیری		any		m
کام		m		m
جاری		any		m
رکھا		m		m
گیا		m		m
اور		UNK		m
راستہ		m		m
کو		UNK		m
عوام		m		m
کے		UNK		m
لئے		UNK		m
کھولنے		any		m
کی		f		m
کوشش		f		m
کی		f		m
گئی		f		m
تھی		f		m
۔		UNK		m
اس		any		m
پر		UNK		m
عثمان		m		m
بن		m		m
محمد		m		m
الہاجری		m		m
نے		UNK		m
اےک		any		m
درخواست		f		m
ہائیکورٹ		m		m
مےں		UNK		m
داخل		m		m
کرتے		any		m
ہوئے		any		m
استدعا		m		m
کی		f		m
تھی		f		m
کہ		UNK		m
مذکورہ		any		m
قبرستان		m		m
کی		f		m
حصاربندی		f		m
کرتے		any		m
ہوئے		any		m
اس		any		m
کے		m		m
تقدس		m		m
کا		m		m
تحفظ		m		m
کیا		m		m
جائے		any		m
۔		UNK		m
عثمان		m		m
الہاجری		m		m
کی		f		m
جانب		m		m
سے		UNK		m
سید		m		m
کریم		m		m
الدین		m		m
شکیل		m		m
ایڈوکیٹ		m		m
نے		UNK		m
عدالت		f		m
کو		UNK		m
تفصیلات		m		m
سے		UNK		m
آگاہ		any		m
کیا		m		m
NULL		UNK		m
جس		any		m
پر		UNK		m
عدالت		f		m
نے		UNK		m
سخت		any		m
نوٹ		m		m
لیتے		any		m
ہوئے		any		m
گریٹر		m		m
حیدرآباد		m		m
میونسپل		m		m
کارپوریشن		m		m
،		UNK		m
میناریٹی		m		m
ویلفیر		m		m
ڈپاٹمنٹ		m		m
،		UNK		m
وقف		m		m
بورڈ		m		m
اور		UNK		m
کمشنر		m		m
پولیس		f		m
کو		UNK		m
حکم		m		m
دیا		m		m
کہ		UNK		m
وہ		any		m
عدالتی		any		m
احکام		m		m
کے		UNK		m
تحت		UNK		m
جوں		UNK		m
کا		UNK		m
توں		UNK		m
موقف		m		m
برقرار		any		m
رکھے		any		m
جانے		any		m
کو		UNK		m
یقینی		any		m
بنائیں		any		m
اور		UNK		m
آئندہ		any		m
تاریخ		f		m
سماعت		f		m
تک		UNK		m
عدالت		f		m
مےں		UNK		m
مقام		m		m
مذکور		m		m
کا		m		m
معائنہ		m		m
کرتے		any		m
ہوئے		any		m
تفصیلی		any		m
رپورٹ		f		m
پیش		m		m
کریں		any		m
۔		UNK		m
یہ		any		m
واضح		any		m
کرتے		m		m
ہوئے		any		m
کہ		UNK		m
صدر		m		m
بارک		m		m
اوباما		m		m
ہند		m		m
-		UNK		m
امریکہ		m		m
تعلقات		m		m
کو		UNK		m
ایشیا		m		m
مےں		UNK		m
امریکہ		m		m
کے		UNK		m
لئے		UNK		m
اہمیت		f		m
کا		m		m
حامل		m		m
سمجھتے		m		m
ہےں		any		m
وائیٹ		m		m
ہاوز		m		m
نے		UNK		m
آج		m		m
کہا		m		m
کہ		UNK		m
امریکہ		m		m
ہندوستان		m		m
کے		UNK		m
ساتھ		m		m
اپنے		any		m
تعلقات		m		m
کو		UNK		m
مزید		any		m
گیرائی		m		m
عطا		m		m
کرنے		any		m
کے		UNK		m
تعلق		m		m
سے		UNK		m
پابند		m		m
ہے		any		m
اور		UNK		m
وہ		any		m
ہندوستان		m		m
کے		UNK		m
ساتھ		m		m
اپنی		f		m
ترجیحات		m		m
جاری		any		m
رکھےگا		m		m
۔		UNK		m
وائیٹ		m		m
ہاوز		m		m
کے		m		m
پریس		m		m
سکریٹری		m		m
مسٹر		UNK		m
جے		m		m
کارنی		m		m
نے		UNK		m
پی		m		m
ٹی		m		m
آئی		m		m
سے		UNK		m
بات_چیت		f		m
کرتے		m		m
ہوئے		any		m
کہا		m		m
کہ		UNK		m
صدر		m		m
اوباما		m		m
ہندوستانی		any		m
عوام		m		m
کا		m		m
احترام		m		m
کرتے		m		m
ہےں		any		m
اور		UNK		m
وزیر		m		m
اعظم		m		m
منموہن		m		m
سنگھ		m		m
کے		UNK		m
ساتھ		m		m
قریبی		any		m
شراکت		m		m
رکھتے		m		m
ہےں		any		m
NULL		UNK		m
وہ		any		m
اس		any		m
تعلق		m		m
کو		UNK		m
ایشیا		m		m
مےں		UNK		m
امریکہ		m		m
کی		f		m
کوششوں		m		m
اور		UNK		m
21		any		m
ویں		UNK		m
صدی		m		m
کے		m		m
وعدوں		m		m
کے		UNK		m
لئے		UNK		m
کافی		UNK		m
اہم		any		m
سمجھتے		m		m
ہیں		any		m
۔		UNK		m
مسٹر		UNK		m
کارنی		m		m
کا		m		m
بیان		m		m
اس		any		m
بات		f		m
کو		UNK		m
ظاہر		m		m
کرتا		m		m
ہے		any		m
کہ		UNK		m
ہندوستان		m		m
کے		UNK		m
ساتھ		m		m
تعلقات		m		m
کو		UNK		m
مستحکم		m		m
کرنے		any		m
مےں		UNK		m
اوباما		m		m
انتظامیہ		m		m
کے		m		m
عزائم		m		m
مےں		UNK		m
کسی		any		m
طرح		m		m
کی		f		m
تبدیلی		f		m
نہیں		UNK		m
آئی		f		m
ہے		any		m
۔		UNK		m
حالانکہ		UNK		m
ہندوستان		m		m
نے		UNK		m
دو		any		m
امریکی		any		m
کمپنیوں		m		m
بوئنگ		m		m
اور		UNK		m
لوک		m		m
ہیڈ		m		m
مارٹن		m		m
کو		UNK		m
126		any		m
لڑاکا		m		m
طیارے		m		m
حاصل		m		m
کرنے		any		m
کی		f		m
معاملت		m		m
سے		UNK		m
خارج		any		m
کر		any		m
دیا		m		m
ہے		any		m
۔		UNK		m
امریکی		any		m
محکمہ		m		m
دفاع		m		m
پنٹگان		m		m
اور		UNK		m
امریکی		any		m
سفیر		m		m
برائے		UNK		m
ہند		m		m
مسٹر		UNK		m
ٹموتھی		m		m
ریومر		m		m
نے		UNK		m
ہندوستان		m		m
کے		m		m
اس		any		m
فیصلہ		m		m
پر		UNK		m
مایوسی		m		m
کا		m		m
اظہار		m		m
کیا		m		m
ہے		any		m
۔		UNK		m
مسٹر		UNK		m
کارنی		m		m
نے		UNK		m
کہا		m		m
کہ		UNK		m
مسٹر		UNK		m
ریومر		m		m
کی		f		m
دو		any		m
سالہ		any		m
معیاد		m		m
کے		UNK		m
دوران		m		m
اوباما		m		m
نے		UNK		m
ہندوستان		m		m
کے		UNK		m
ساتھ		m		m
تعلقات		m		m
کو		UNK		m
کافی		any		m
آگے		m		m
بڑھایا		m		m
ہے		any		m
اور		UNK		m
یہ		any		m
تعلقات		m		m
ہمیشہ		UNK		m
امریکہ		m		m
کی		f		m
ترجیح		f		m
رہے		m		m
ہیں		any		m
۔		UNK		m
امریکہ		m		m
کے		m		m
خیال		m		m
مےں		UNK		m
ہند		m		m
۔		UNK		m
امریکہ		m		m
تعلقات		m		m
21		any		m
ویں		UNK		m
صدی		m		m
مےں		UNK		m
کافی		any		m
اہمیت		f		m
کے		m		m
حامل		any		m
ہیں		m		m
۔		UNK		m
بودھن		m		m
ٹاؤن		m		m
صدر		m		m
ٹی		m		m
آر		m		m
ایس		m		m
جناب		UNK		m
عبدالرزاق		m		m
نے		UNK		m
انسانی		m		m
حقوق		m		m
کمیشن		m		m
آندھراپردیش		m		m
کے		m		m
نام		m		m
تحریرکردہ		any		m
اپنے		m		m
مکتوب		m		m
مےں		UNK		m
انھوں		any		m
نے		UNK		m
حلقہ		m		m
اسمبلی		m		m
بودھن		m		m
مےں		UNK		m
ضامن		m		m
روزگار		m		m
اسکیم		f		m
کے		UNK		m
تحت		UNK		m
مزدوروں		m		m
کو		UNK		m
تقسیم		m		m
کے		UNK		m
لئے		UNK		m
مختص_کردہ		any		m
رقم		f		m
اےک		any		m
کروڑ		any		m
67		any		m
لاکھ		any		m
روپئے		m		m
مبینہ		any		m
طور		m		m
پر		UNK		m
تغلب		m		m
کرنے		any		m
کا		m		m
سرکاری		any		m
عہدہ_داروں		m		m
اور		UNK		m
قائدین		m		m
پر		UNK		m
الزام		m		m
عائد		any		m
کیا		m		m
۔		UNK		m
مسٹر		UNK		m
عبدالرزاق		m		m
نے		UNK		m
اپنے		any		m
مکتوب		m		m
کے		UNK		m
ساتھ		m		m
سوشیل		m		m
آڈٹ		m		m
کی		f		m
رپورٹ		f		m
