Word		Original_root		Predicted_root
نائیڈو		نائیڈو		
پر		پر		
ضلع		ضلع		
کڑپہ		کڑپہ		
مےں		مےں		
ہوئے		ہو		
حملہ		حملہ		
کے		کے		
بعد		بعد		
مسٹر		مسٹر		
نائیڈو		نائیڈو		
نے		نے		
اس		یہ		
طرح		طرح		
کے		کا		
واقعات		واقعہ		
کا		کا		
حوالہ		حوالہ		
دیتے		دے		
ہوئے		ہو		
کہا		کہہ		
کہ		کہ		
ضلع		ضلع		
کڑپہ		کڑپہ		
مےں		مےں		
گروہ_واری		گروہ_واری		
عناصر		عنصر		
انتخابات		انتخاب		
مےں		مےں		
دھاندلیوں		دھاندلی		
کی		کا		
منصوبہ_بندی		منصوبہ_بندی		
کر		کر		
رہے		رہ		
ہیں		ہے		
۔		۔		
انہوں		وہ		
نے		نے		
بتایا		بتا		
کہ		کہ		
جمہوریت		جمہوریت		
کی		کا		
بقاء		بقاء		
کے		کے		
لئے		لئے		
یہ		یہ		
ضروری		ضروری		
ہے		ہے		
کہ		کہ		
چیف		چیف		
الیکشن		الیکشن		
کمشنر		کمشنر		
کی		کا		
جانب		جانب		
سے		سے		
ان		یہ		
انتخابات		انتخاب		
کی		کا		
راست		راست		
نگرانی		نگرانی		
اور		اور		
غنڈہ		غنڈہ		
عناصر		عنصر		
پر		پر		
کنٹرول		کنٹرول		
کے		کے		
لئے		لئے		
سخت_ترین		سخت_ترین		
انتظامات		انتظام		
کئے		کر		
جائیں		جا		
۔		۔		
مسٹر		مسٹر		
نائیڈو		نائیڈو		
نے		نے		
سی		سی		
ای		ای		
سی		سی		
کو		کو		
روانہ_کردہ		روانہ_کردہ		
مکتوب		مکتوب		
مےں		مےں		
اس		وہ		
بات		بات		
کی		کا		
طرف		طرف		
بھی		بھی		
اشارہ		اشارہ		
کیا		کر		
کہ		کہ		
علاقے		علاقہ		
مےں		مےں		
وائی		وائی		
ایس		ایس		
جگن		جگن		
موہن		موہن		
ریڈی		ریڈی		
کی		کا		
جانب		جانب		
سے		سے		
بدعنوانیوں		بدعنوانی		
و		و		
بےقاعدگیوں		بےقاعدگی		
کے		کے		
ذریعہ		ذریعہ		
حاصل_کردہ		حاصل_کردہ		
دولت		دولت		
کے		کا		
استعمال		استعمال		
کے		کے		
ذریعہ		ذریعہ		
رائےدہندوں		رائےدہندہ		
کو		کو		
راغب		راغب		
کرنے		کر		
کی		کا		
کوشش		کوشش		
کی		کر		
جا		جا		
رہی		رہ		
ہے		ہے		
جو		جو		
کہ		کہ		
انتخابی		انتخابی		
ضابطہ		ضابطہ		
اخلاق		اخلاق		
کی		کا		
سنگین		سنگین		
خلاف_ورزی		خلاف_ورزی		
ہے		ہے		
-		-		
برقی		برقی		
شاک		شاک		
کی		کا		
زد		زد		
مےں		مےں		
آ		آ		
کر		کر		
اےک		اےک		
11		11		
سالہ		سالہ		
لڑکی		لڑکی		
سجانا		سجانا		
ہلاک		ہلاک		
ہو		ہو		
گئی		جا		
NULL		null		
واقعہ		واقعہ		
نریڈ		نریڈ		
میٹ		میٹ		
پولیس		پولیس		
اسٹیشن		اسٹیشن		
حدود		حد		
مےں		مےں		
کل		کل		
شام		شام		
پیش		پیش		
آیا		آ		
۔		۔		
نریڈمیڈ		نریڈمیڈ		
کے		کا		
ساکن		ساکن		
وینکٹیش		وینکٹیش		
کی		کا		
لڑکی		لڑکی		
سجاتا		سجاتا		
6		6		
ویں		ویں		
جماعت		جماعت		
مےں		مےں		
تعلیم		تعلیم		
حاصل		حاصل		
کر		کر		
رہی		رہ		
تھی		تھا		
جو		جو		
کل		کل		
شام		شام		
اپنے		اپنا		
مکان		مکان		
مےں		مےں		
کام		کام		
کاج		کاج		
کے		کے		
دوران		دوران		
برقی		برقی		
شاک		شاک		
کی		کا		
زد		زد		
مےں		مےں		
آ		آ		
گئی		جا		
۔		۔		
لڑکی		لڑکی		
کو		کو		
فوری		فوری		
طور		طور		
پر		پر		
قریبی		قریبی		
ہاسپٹل		ہاسپٹل		
سے		سے		
رجوع		رجوع		
کیا		کر		
گیا		جا		
جہاں		جہاں		
دوران		دوران		
علاج		علاج		
وہ		وہ		
فوت		فوت		
ہو		ہو		
گئی		جا		
۔		۔		
پولیس		پولیس		
نریڈ		نریڈ		
میٹ		میٹ		
نے		نے		
مقدمہ		مقدمہ		
درج		درج		
کر		کر		
لیا		لے		
ہے		ہے		
اور		اور		
تحقیقات		تحقیق		
جاری		جاری		
ہےں		ہے		
۔		۔		
اےک		اےک		
شخص		شخص		
نے		نے		
مبینہ		مبینہ		
طور		طور		
پر		پر		
اپنی		اپنا		
منگیتر		منگیتر		
اور		اور		
اس		وہ		
کے		کا		
والدین		والدین		
پر		پر		
چاقو		چاقو		
سے		سے		
حملہ		حملہ		
کر		کر		
کے		کا		
زخمی		زخمی		
کر		کر		
دیا		دے		
۔		۔		
پولیس		پولیس		
نے		نے		
بتایا		بتا		
کہ		کہ		
نوجوان		نوجوان		
لڑکی		لڑکی		
کی		کا		
پاک_دامنی		پاک_دامنی		
پر		پر		
شبہ		شبہ		
کرتے		کر		
ہوئے		ہو		
حملہ		حملہ		
کیا		کر		
۔		۔		
ڈی		ڈی		
بھارت		بھارت		
کرشنا		کرشنا		
خانگی		خانگی		
ملازم		ملازم		
جو		جو		
24		24		
سالہ		سالہ		
خاتون		خاتون		
فروین		فروین		
صنم		صنم		
متعلم		متعلم		
ایم		ایم		
کام		کام		
سے		سے		
عشق		عشق		
کرتا		کر		
تھا		تھا		
۔		۔		
دونوں		دو		
کے		کا		
ارکان		رکن		
خاندان		خاندان		
ان		وہ		
کی		کا		
اس		یہ		
سال		سال		
فبروری		فبروری		
مےں		مےں		
منگنی		منگنی		
کرنے		کر		
کے		کے		
بعد		بعد		
شادی		شادی		
سے		سے		
اتفاق		اتفاق		
کیا		کر		
تھا		تھا		
اور		اور		
21		21		
مئی		مئی		
کو		کو		
شادی		شادی		
مقرر		مقرر		
تھی		تھا		
۔		۔		
تاہم		تاہم		
بھارت		بھارت		
کرشنا		کرشنا		
کو		کو		
اپنی		اپنا		
منگیتر		منگیتر		
کے		کا		
چال		چال		
و		و		
چلن		چلن		
پر		پر		
شبہ		شبہ		
ہوا		ہو		
اور		اور		
الزام		الزام		
عائد		عائد		
کیا		کر		
کہ		کہ		
وہ		وہ		
کسی		کوئی		
اور		اور		
شخص		شخص		
کے		کے		
ساتھ		ساتھ		
تعلقات		تعلق		
رکھتی		رکھ		
ہے		ہے		
۔		۔		
آج		آج		
شام		شام		
وہ		وہ		
اپنی		اپنا		
منگیتر		منگیتر		
کے		کا		
گھر		گھر		
گیا		جا		
اور		اور		
بحث		بحث		
کرتے		کر		
ہوئے		ہو		
اس		وہ		
شخص		شخص		
کا		کا		
نام		نام		
ظاہر		ظاہر		
کرنے		کر		
کا		کا		
مطالبہ		مطالبہ		
کیا		کر		
اور		اور		
کہا		کہہ		
کہ		کہ		
اس		وہ		
کے		کے		
ساتھ		ساتھ		
ابھی		ابھی		
چل		چل		
کر		کر		
شادی		شادی		
کر		کر		
لے		لے		
لیکن		لیکن		
خاتون		خاتون		
نے		نے		
انکار		انکار		
کیا		کر		
اور		اور		
چیخ		چیخ		
و		و		
پکار		پکار		
سن		سن		
کر		کر		
لڑکی		لڑکی		
کے		کا		
والدین		والدین		
اور		اور		
دیگر		دیگر		
ارکان		رکن		
پہنچ		پہنچ		
گئے		جا		
NULL		null		
جس		جو		
پر		پر		
برہم		برہم		
بھارت		بھارت		
نے		نے		
لڑکی		لڑکی		
اور		اور		
اس		وہ		
کے		کا		
والدین		والدین		
پر		پر		
چاقو		چاقو		
سے		سے		
حملہ		حملہ		
کیا		کر		
۔		۔		
لڑکی		لڑکی		
کے		کا		
گردن		گردن		
اور		اور		
ہاتھ		ہاتھ		
پر		پر		
شدید		شدید		
زخم		زخم		
آئے		آ		
۔		۔		
والدین		والدین		
معمولی		معمولی		
زخمی		زخمی		
ہوئے		ہو		
ہےں		ہے		
۔		۔		
کرشنا		کرشنا		
چلڈرنس		چلڈرنس		
ہاسپٹل		ہاسپٹل		
لکڑی		لکڑی		
کا		کا		
پل		پل		
پر		پر		
عالمی		عالمی		
یوم		یوم		
دمہ		دمہ		
کے		کا		
موقع		موقع		
پر		پر		
3		3		
مئی		مئی		
کو		کو		
صبح		صبح		
8		8		
بجے		بجے		
بچوں		بچہ		
کے		کے		
لئے		لئے		
مفت		مفت		
دمہ		دمہ		
چیک		چیک		
اپ		اپ		
کیمپ		کیمپ		
منعقد		منعقد		
کیا		کر		
جائےگا		جا		
۔		۔		
رجسٹریشن		رجسٹریشن		
کے		کے		
لئے		لئے		
040		040		
-		-		
66838383		66838383		
پر		پر		
کال		کال		
کریں		کر		
۔		۔		
ڈی		ڈی		
سی		سی		
پی		پی		
ساؤتھ		ساؤتھ		
زون		زون		
کی		کا		
حیثیت		حیثیت		
سے		سے		
مسٹر		مسٹر		
ونیت		ونیت		
برج		برج		
لال		لال		
نے		نے		
آج		آج		
شام		شام		
اپنے		اپنا		
عہدے		عہدہ		
کا		کا		
جائزہ		جائزہ		
حاصل		حاصل		
کر		کر		
لیا		لے		
۔		۔		
ڈی		ڈی		
سی		سی		
پی		پی		
ساؤتھ		ساؤتھ		
زون		زون		
مدھو		مدھو		
سدھن		سدھن		
ریڈی		ریڈی		
کی		کا		
ترقی		ترقی		
کے		کے		
بعد		بعد		
وہ		وہ		
انچارج		انچارج		
ڈی		ڈی		
سی		سی		
پی		پی		
کی		کا		
حیثیت		حیثیت		
سے		سے		
خدمات		خدمت		
انجام		انجام		
دے		دے		
رہے		رہ		
تھے		تھا		
۔		۔		
مسٹر		مسٹر		
ونیت		ونیت		
برج		برج		
لال		لال		
نے		نے		
آج		آج		
ان		وہ		
سے		سے		
اپنے		اپنا		
عہدے		عہدہ		
کا		کا		
جائزہ		جائزہ		
حاصل		حاصل		
کر		کر		
لیا		لے		
۔		۔		
ونیت		ونیت		
برج		برج		
لال		لال		
وئیزاک		وئیزاک		
رورل		رورل		
کے		کا		
ایس		ایس		
پی		پی		
کی		کا		
حیثیت		حیثیت		
سے		سے		
خدمات		خدمت		
انجام		انجام		
دے		دے		
رہے		رہ		
تھے		تھا		
۔		۔		
چینائی		چینائی		
سوپر		سوپر		
کنگس		کنگس		
کے		کا		
بولرس		بولر		
نے		نے		
آج		آج		
بہترین		بہترین		
مظاہرہ		مظاہرہ		
کرتے		کر		
ہوئے		ہو		
دکن		دکن		
چارجرس		چارجرس		
کے		کے		
خلاف		خلاف		
19		19		
رنز		رنز		
سے		سے		
کامیابی		کامیابی		
یقینی		یقینی		
بنائی		بنا		
۔		۔		
سوہال		سوہال		
نے		نے		
24		24		
گیندوں		گیند		
مےں		مےں		
جاریہ		جاریہ		
سیزن		سیزن		
کی		کا		
تیزترین		تیزترین		
نصف		نصف		
سنچری		سنچری		
بنائی		بنا		
لیکن		لیکن		
ان		وہ		
کے		کا		
آوٹ		آوٹ		
ہونے		ہو		
کے		کے		
بعد		بعد		
میچ		میچ		
چینائی		چینائی		
سوپر		سوپر		
کنگس		کنگس		
کے		کا		
حق		حق		
مےں		مےں		
چلا		چلا		
گیا		جا		
۔		۔		
مقررہ		مقررہ		
20		20		
اوورس		اوور		
مےں		مےں		
165		165		
رنز		رنز		
بنانے		بنا		
کے		کے		
بعد		بعد		
ٹیم		ٹیم		
نے		نے		
حریف		حریف		
دکن		دکن		
چارجرس		چارجرس		
کو		کو		
146		146		
/		/		
8		8		
پر		پر		
محدود		محدود		
کر		کر		
دیا		دے		
۔		۔		
سریش		سریش		
رائنا		رائنا		
نے		نے		
چینائی		چینائی		
سوپر		سوپر		
کنگس		کنگس		
کے		کے		
لئے		لئے		
59		59		
رنز		رنز		
بنائے		بنا		
جبکہ		جبکہ		
البی		البی		
مرکل		مرکل		
نے		نے		
3		3		
وکٹس		وکٹس		
حاصل		حاصل		
کئے		کر		
۔		۔		
کامیابی		کامیابی		
کے		کے		
لئے		لئے		
166		166		
رنز		رنز		
کا		کا		
تعاقب		تعاقب		
کرتے		کر		
ہوئے		ہو		
دفاعی		دفاعی		
چمپئین		چمپئین		
دکن		دکن		
چارجرس		چارجرس		
نے		نے		
اچھی		اچھی		
شروعات		شروعات		
کی		کر		
لیکن		لیکن		
بعد		بعد		
مےں		مےں		
بیٹسمین		بیٹسمین		
ناکام		ناکام		
ہو		ہو		
۔		۔		
اےک		اےک		
مرحلہ		مرحلہ		
پر		پر		
دکن		دکن		
چارجرس		چارجرس		
کا		کا		
اسکور		اسکور		
6.4		6.4		
اوورس		اوورس		
مےں		مےں		
بنا		بنا		
کسی		کوئی		
نقصان		نقصان		
سے		سے		
71		71		
رنز		رنز		
ہو		ہو		
گیا		جا		
تھا		تھا		
۔		۔		
سوہال		سوہال		
نے		نے		
24		24		
گیندوں		گیند		
مےں		مےں		
جاریہ		جاریہ		
سیزن		سیزن		
کی		کا		
تیزترین		تیزترین		
نصف		نصف		
سنچری		سنچری		
بنائی		بنا		
لیکن		لیکن		
ان		وہ		
کے		کا		
آوٹ		آوٹ		
ہونے		ہو		
کے		کے		
بعد		بعد		
میچ		میچ		
چینائی		چینائی		
سوپر		سوپر		
کنگس		کنگس		
کے		کا		
حق		حق		
مےں		مےں		
چلا		چلا		
گیا		جا		
۔		۔		
قبل_ازیں		قبل_ازیں		
سریش		سریش		
رائنا		رائنا		
کی		کا		
نصف		نصف		
سنچری		سنچری		
اور		اور		
مرکل		مرکل		
کی		کا		
بہترین		بہترین		
بالنگ		بالنگ		
نے		نے		
ٹیم		ٹیم		
کی		کا		
کامیابی		کامیابی		
کو		کو		
یقینی		یقینی		
بنایا		بنا		
۔		۔		
سریش		سریش		
رائنا		رائنا		
نے		نے		
فارم		فارم		
مےں		مےں		
واپس		واپس		
ہوتے		ہو		
ہوئے		ہو		
6		6		
چوکوں		چوکا		
اور		اور		
2		2		
چھکوں		چھکا		
کی		کا		
مدد		مدد		
سے		سے		
35		35		
گیندوں		گیند		
مےں		مےں		
59		59		
رنز		رنز		
بنائے		بنا		
جبکہ		جبکہ		
مرکل		مرکل		
نے		نے		
3		3		
وکٹس		وکٹس		
حاصل		حاصل		
کئے		کر		
۔		۔		
اس		یہ		
کے		کے		
علاوہ		علاوہ		
انہوں		وہ		
نے		نے		
چھ		چھ		
گیندوں		گیند		
مےں		مےں		
تین		تین		
چھکوں		چھکا		
کی		کا		
مدد		مدد		
سے		سے		
19		19		
رنز		رنز		
بنائے		بنا		
۔		۔		
چینائی		چینائی		
سوپر		سوپر		
کنگس		کنگس		
نے		نے		
آخری		آخری		
پانچ		پانچ		
اوورس		اوورس		
مےں		مےں		
69		69		
رنز		رنز		
بناتے		بنا		
ہوئے		ہو		
اسکور		اسکور		
کو		کو		
165		165		
تک		تک		
پہنچا		پہنچ		
دیا		دے		
۔		۔		
کپتان		کپتان		
مہیندر		مہیندر		
سنگھ		سنگھ		
دھونی		دھونی		
نے		نے		
21		21		
رنز		رنز		
بنائے		بنا		
۔		۔		
آندھراپردیش		آندھراپردیش		
ہائیکورٹ		ہائیکورٹ		
نے		نے		
قبرستان		قبرستان		
چوکھنڈی		چوکھنڈی		
،		،		
شیخ		شیخ		
پیٹ		پیٹ		
کی		کا		
موجودہ		موجودہ		
حالت		حالت		
کے		کے		
تعلق		تعلق		
سے		سے		
اےک		اےک		
رپورٹ		رپورٹ		
پیش		پیش		
کرنے		کر		
کی		کا		
سکریٹری		سکریٹری		
محکمہ		محکمہ		
اقلیتی		اقلیتی		
بہبود		بہبود		
،		،		
اسپیشل		اسپیشل		
آفیسر		آفیسر		
مجلس		مجلس		
بلدیہ		بلدیہ		
عظیم_تر		عظیم_تر		
حیدرآباد		حیدرآباد		
،		،		
چیف		چیف		
ایگزیکیٹیو		ایگزیکیٹیو		
آفیسر		آفیسر		
اے		اے		
پی		پی		
اسٹیٹ		اسٹیٹ		
وقف		وقف		
بورڈ		بورڈ		
اور		اور		
کمشنر		کمشنر		
پولیس		پولیس		
حیدرآباد		حیدرآباد		
کو		کو		
ہدایت		ہدایت		
دی		دے		
ہے		ہے		
NULL		null		
اس		وہ		
کے		کے		
علاوہ		علاوہ		
انہیں		وہ		
یہ		یہ		
بھی		بھی		
ہدایت		ہدایت		
دی		دے		
گئی		جا		
ہے		ہے		
کہ		کہ		
وہ		وہ		
قبرستان		قبرستان		
چوکھنڈی		چوکھنڈی		
مےں		مےں		
جوں		جوں		
کا		کا		
توں		توں		
موقف		موقف		
برقرار		برقرار		
رکھنے		رکھ		
کے		کے		
تعلق		تعلق		
سے		سے		
عدالت		عدالت		
کے		کا		
احکام		حکم		
کی		کا		
پابندی		پابندی		
کو		کو		
یقینی		یقینی		
بنائیں		بنا		
۔		۔		
چیف		چیف		
جسٹس		جسٹس		
مسٹر		مسٹر		
جسٹس		جسٹس		
نثار		نثار		
احمد		احمد		
کاکرو		کاکرو		
اور		اور		
جسٹس		جسٹس		
وی		وی		
وی		وی		
افضل		افضل		
پورکر		پورکر		
پر		پر		
مشتمل		مشتمل		
بنچ		بنچ		
نے		نے		
یہ		یہ		
ہدایت		ہدایت		
جاری		جاری		
کی		کر		
۔		۔		
تفصیلات		تفصیل		
کے		کے		
بموجب		بموجب		
درخواست_گذار		درخواست_گذار		
و		و		
صدر		صدر		
وقف		وقف		
پراپرٹیز		پراپرٹیز		
پروٹیکشن		پروٹیکشن		
سوسائیٹی		سوسائیٹی		
جناب		جناب		
عثمان		عثمان		
بن		بن		
محمد		محمد		
الہاجری		الہاجری		
نے		نے		
قبرستان		قبرستان		
چوکھنڈی		چوکھنڈی		
شیخ_پیٹ		شیخ		
کی		کا		
بانڈری		بانڈری		
و		و		
قبور		قبر		
کو		کو		
مسمار		مسمار		
کرتے		کر		
ہوئے		ہو		
سڑک		سڑک		
کی		کا		
تعمیر		تعمیر		
کے		کے		
خلاف		خلاف		
عدالت		عدالت		
کا		کا		
دروازہ		دروازہ		
کھٹکھٹایا		کھٹکھٹا		
تھا		تھا		
NULL		null		
جس		جو		
پر		پر		
عدالت		عدالت		
کی		کا		
جانب		جانب		
سے		سے		
یہاں		یہاں		
جوں		جوں		
کا		کا		
توں		توں		
موقف		موقف		
برقرار		برقرار		
رکھنے		رکھ		
کی		کا		
ہدایت		ہدایت		
جاری		جاری		
کی		کر		
گئی		جا		
تھی		تھا		
۔		۔		
عدالت		عدالت		
کی		کا		
ہدایت		ہدایت		
کے		کے		
باوجود		باوجود		
یہاں		یہاں		
بلدیہ		بلدیہ		
کی		کا		
جانب		جانب		
سے		سے		
سوچے		سوچ		
سمجھے		سمجھ		
منصوبہ		منصوبہ		
کے		کے		
تحت		تحت		
مذکورہ		مذکورہ		
سڑک		سڑک		
کی		کا		
تعمیر		تعمیر		
کا		کا		
کام		کام		
جاری		جاری		
رکھا		رکھ		
گیا		جا		
تھا		تھا		
۔		۔		
رات		رات		
مےں		مےں		
بھی		بھی		
تعمیری		تعمیری		
کام		کام		
جاری		جاری		
رکھا		رکھ		
گیا		جا		
اور		اور		
راستہ		راستہ		
کو		کو		
عوام		عوام		
کے		کے		
لئے		لئے		
کھولنے		کھول		
کی		کا		
کوشش		کوشش		
کی		کر		
گئی		جا		
تھی		تھا		
۔		۔		
اس		یہ		
پر		پر		
عثمان		عثمان		
بن		بن		
محمد		محمد		
الہاجری		الہاجری		
نے		نے		
اےک		اےک		
درخواست		درخواست		
ہائیکورٹ		ہائیکورٹ		
مےں		مےں		
داخل		داخل		
کرتے		کر		
ہوئے		ہو		
استدعا		استدعا		
کی		کر		
تھی		تھا		
کہ		کہ		
مذکورہ		مذکورہ		
قبرستان		قبرستان		
کی		کا		
حصاربندی		حصاربندی		
کرتے		کر		
ہوئے		ہو		
اس		وہ		
کے		کا		
تقدس		تقدس		
کا		کا		
تحفظ		تحفظ		
کیا		کر		
جائے		جا		
۔		۔		
عثمان		عثمان		
الہاجری		الہاجری		
کی		کا		
جانب		جانب		
سے		سے		
سید		سید		
کریم		کریم		
الدین		الدین		
شکیل		شکیل		
ایڈوکیٹ		ایڈوکیٹ		
نے		نے		
عدالت		عدالت		
کو		کو		
تفصیلات		تفصیل		
سے		سے		
آگاہ		آگاہ		
کیا		کر		
NULL		null		
جس		جو		
پر		پر		
عدالت		عدالت		
نے		نے		
سخت		سخت		
نوٹ		نوٹ		
لیتے		لے		
ہوئے		ہو		
گریٹر		گریٹر		
حیدرآباد		حیدرآباد		
میونسپل		میونسپل		
کارپوریشن		کارپوریشن		
،		،		
میناریٹی		میناریٹی		
ویلفیر		ویلفیر		
ڈپاٹمنٹ		ڈپاٹمنٹ		
،		،		
وقف		وقف		
بورڈ		بورڈ		
اور		اور		
کمشنر		کمشنر		
پولیس		پولیس		
کو		کو		
حکم		حکم		
دیا		دے		
کہ		کہ		
وہ		وہ		
عدالتی		عدالتی		
احکام		حکم		
کے		کے		
تحت		تحت		
جوں		جوں		
کا		کا		
توں		توں		
موقف		موقف		
برقرار		برقرار		
رکھے		رکھ		
جانے		جا		
کو		کو		
یقینی		یقینی		
بنائیں		بنا		
اور		اور		
آئندہ		آئندہ		
تاریخ		تاریخ		
سماعت		سماعت		
تک		تک		
عدالت		عدالت		
مےں		مےں		
مقام		مقام		
مذکور		مذکور		
کا		کا		
معائنہ		معائنہ		
کرتے		کر		
ہوئے		ہو		
تفصیلی		تفصیلی		
رپورٹ		رپورٹ		
پیش		پیش		
کریں		کر		
۔		۔		
یہ		یہ		
واضح		واضح		
کرتے		کر		
ہوئے		ہو		
کہ		کہ		
صدر		صدر		
بارک		بارک		
اوباما		اوباما		
ہند		ہند		
-		-		
امریکہ		امریکہ		
تعلقات		تعلق		
کو		کو		
ایشیا		ایشیا		
مےں		مےں		
امریکہ		امریکہ		
کے		کے		
لئے		لئے		
اہمیت		اہمیت		
کا		کا		
حامل		حامل		
سمجھتے		سمجھ		
ہےں		ہے		
وائیٹ		وائیٹ		
ہاوز		اہمیت		
نے		نے		
آج		آج		
کہا		کہہ		
کہ		کہ		
امریکہ		امریکہ		
ہندوستان		ہندوستان		
کے		کے		
ساتھ		ساتھ		
اپنے		اپنا		
تعلقات		تعلق		
کو		کو		
مزید		مزید		
گیرائی		گیرائی		
عطا		عطا		
کرنے		کر		
کے		کے		
تعلق		تعلق		
سے		سے		
پابند		پابند		
ہے		ہے		
اور		اور		
وہ		وہ		
ہندوستان		ہندوستان		
کے		کے		
ساتھ		ساتھ		
اپنی		اپنا		
ترجیحات		ترجیح		
جاری		جاری		
رکھےگا		رکھ		
۔		۔		
وائیٹ		وائیٹ		
ہاوز		ہاوز		
کے		کا		
پریس		پریس		
سکریٹری		سکریٹری		
مسٹر		مسٹر		
جے		جے		
کارنی		کارنی		
نے		نے		
پی		پی		
ٹی		ٹی		
آئی		آئی		
سے		سے		
بات_چیت		بات_چیت		
کرتے		کر		
ہوئے		ہو		
کہا		کہہ		
کہ		کہ		
صدر		صدر		
اوباما		اوباما		
ہندوستانی		ہندوستانی		
عوام		عوام		
کا		کا		
احترام		احترام		
کرتے		کر		
ہےں		ہے		
اور		اور		
وزیر		وزیر		
اعظم		اعظم		
منموہن		منموہن		
سنگھ		سنگھ		
کے		کے		
ساتھ		ساتھ		
قریبی		قریبی		
شراکت		شراکت		
رکھتے		رکھ		
ہےں		ہے		
NULL		null		
وہ		وہ		
اس		یہ		
تعلق		تعلق		
کو		کو		
ایشیا		ایشیا		
مےں		مےں		
امریکہ		امریکہ		
کی		کا		
کوششوں		کوشش		
اور		اور		
21		21		
ویں		ویں		
صدی		صدی		
کے		کا		
وعدوں		وعدہ		
کے		کے		
لئے		لئے		
کافی		کافی		
اہم		اہم		
سمجھتے		سمجھ		
ہیں		ہے		
۔		۔		
مسٹر		مسٹر		
کارنی		کارنی		
کا		کا		
بیان		بیان		
اس		یہ		
بات		بات		
کو		کو		
ظاہر		ظاہر		
کرتا		کر		
ہے		ہے		
کہ		کہ		
ہندوستان		ہندوستان		
کے		کے		
ساتھ		ساتھ		
تعلقات		تعلق		
کو		کو		
مستحکم		مستحکم		
کرنے		کر		
مےں		مےں		
اوباما		اوباما		
انتظامیہ		انتظامیہ		
کے		کا		
عزائم		عزائم		
مےں		مےں		
کسی		کسی		
طرح		طرح		
کی		کا		
تبدیلی		تبدیلی		
نہیں		نہیں		
آئی		آ		
ہے		ہے		
۔		۔		
حالانکہ		حالانکہ		
ہندوستان		ہندوستان		
نے		نے		
دو		دو		
امریکی		امریکی		
کمپنیوں		کمپنی		
بوئنگ		بوئنگ		
اور		اور		
لوک		لوک		
ہیڈ		ہیڈ		
مارٹن		مارٹن		
کو		کو		
126		126		
لڑاکا		لڑاکا		
طیارے		طیارہ		
حاصل		حاصل		
کرنے		کر		
کی		کا		
معاملت		معاملت		
سے		سے		
خارج		خارج		
کر		کر		
دیا		دے		
ہے		ہے		
۔		۔		
امریکی		امریکی		
محکمہ		محکمہ		
دفاع		دفاع		
پنٹگان		پنٹگان		
اور		اور		
امریکی		امریکی		
سفیر		سفیر		
برائے		برائے		
ہند		ہند		
مسٹر		مسٹر		
ٹموتھی		ٹموتھی		
ریومر		ریومر		
نے		نے		
ہندوستان		ہندوستان		
کے		کا		
اس		یہ		
فیصلہ		فیصلہ		
پر		پر		
مایوسی		مایوسی		
کا		کا		
اظہار		اظہار		
